Plant-Generic,2021-01-01_actual,2021-01-01_model,2021-02-01_actual,2021-02-01_model,2021-03-01_actual,2021-03-01_model,2021-04-01_actual,2021-04-01_model,2021-05-01_actual,2021-05-01_model,2021-06-01_actual,2021-06-01_model,2021-07-01_actual,2021-07-01_model,2021-08-01_actual,2021-08-01_model,2021-09-01_actual,2021-09-01_model,2021-10-01_actual,2021-10-01_model,2021-11-01_actual,2021-11-01_model,2021-12-01_actual,2021-12-01_model,2022-01-01_actual,2022-01-01_model,2022-02-01_actual,2022-02-01_model,2022-03-01_actual,2022-03-01_model,2022-04-01_actual,2022-04-01_model,2022-05-01_actual,2022-05-01_model,2022-06-01_actual,2022-06-01_model,2022-07-01_actual,2022-07-01_model,2022-08-01_actual,2022-08-01_model,2022-09-01_actual,2022-09-01_model
3803-2384,26450.0,25323.963344072283,24582.0,24695.43641913263,37324.0,38571.429707329604,25616.0,20961.634547049063,34699.0,40291.041739009146,19790.0,21028.327188783675,19361.0,25449.14172745985,47191.0,41344.03625113604,53791.0,50945.84640372149,28063.0,28042.44603416446,28886.0,28885.81998537213,30181.0,30173.799801523157,40342.0,41434.79573355743,26901.0,26838.90516444287,44966.0,43630.163296601415,26079.0,30780.334960055305,41743.0,36155.015302482876,12815.0,11572.750482922682,33276.0,27156.406961906963,17817.0,23573.58664868414,30070.0,32977.516412486
3803-2386,36.0,129.35093657473953,3483.0,3695.548501571271,5666.0,5433.0444776865315,5753.0,4114.650355018921,0.0,882.3435600785206,2776.0,4209.239903947457,3050.0,4426.448510394349,2252.0,1384.9104087273968,5062.0,3753.7676452688197,3037.0,3010.9947132290554,0.0,27.649336514170557,3073.0,3042.5814670902114,0.0,-64.45043492337572,6075.0,5832.3521679439355,6657.0,6906.163043477817,1012.0,2622.9983277776455,3479.0,2645.3955931198598,6302.0,4835.393602865457,2637.0,1282.0978267102419,1126.0,1942.7195874503504,1078.0,2425.503358894841
3803-2394,5401.0,4301.74001504909,559.0,249.2309003300361,1951.0,3480.737313399528,116.0,1136.971792491433,3465.0,2803.884263056636,466.0,1000.6990808384544,3478.0,3285.9355385070667,1807.0,2814.4168154154286,6040.0,4122.056527395645,739.0,732.7461496502692,1310.0,1325.7029813736226,1209.0,1179.8790460385899,580.0,1694.4001495966368,3360.0,3658.6624896629182,6330.0,4833.532246220755,5258.0,4188.309669070841,2552.0,3243.374434732843,5360.0,4793.7676075570025,4205.0,4426.882118764404,4732.0,3690.4312991006427,1393.0,3320.203716615747
3803-2397,7535.0,7161.01194964513,5845.0,5685.954495892744,1892.0,2450.391131210803,1460.0,2332.7703461940546,1477.0,1464.4445173867934,1292.0,619.5859976010615,3339.0,2816.8933998208304,3438.0,3559.9972306494674,1697.0,1868.656604259464,2074.0,2067.7418420262,4704.0,4709.372000812535,2021.0,2013.4127921376967,1569.0,1945.6063436886034,4259.0,4417.051579858511,1334.0,786.2426557674335,3203.0,2321.8368555949746,2506.0,2514.5596254963,1522.0,2186.5798435161287,345.0,875.8835857632657,2799.0,2675.390024532331,1283.0,1113.839562416585
3803-24178,0.0,336.49437371998647,0.0,79.34756876925167,0.0,-466.7287983284732,0.0,-251.53795181878377,0.0,-580.7628909307132,0.0,424.204538790269,0.0,-120.76080651444136,0.0,566.9221351612214,0.0,48.8465082898947,0.0,3.4054202090701438,0.0,-0.051375231423662626,0.0,1.9280386417212867,0.0,-331.73793679334995,0.0,-87.18889517643584,0.0,471.5816834729367,0.0,247.07276658123556,0.0,588.8082005595497,3643.0,3220.037340401289,1214.0,1335.5684074268188,3643.0,3080.4402477983585,3643.0,3589.0702149912904
3803-24276,10000.0,11286.392559617729,11768.0,12227.988212202676,20482.0,18663.653453409293,10825.0,9021.83626106914,15938.0,14906.051421140699,10393.0,12590.581645849306,8210.0,8753.436373226403,9933.0,10661.851312693878,18546.0,18042.558813525655,12398.0,12435.616472922062,14001.0,13973.815314809472,8612.0,8647.55636168315,16052.0,14753.060633921501,10135.0,9684.27296588145,7609.0,9401.041836667806,11552.0,13381.253545456013,7563.0,8603.129155668386,10349.0,8186.588740913343,15854.0,15279.028156025626,12799.0,12101.143032115695,12951.0,13424.222579673922
3803-24302,0.0,-248.10825785285124,4282.0,4278.959496405241,0.0,250.90069661586676,3928.0,3233.7727643753387,0.0,1030.185435816882,3484.0,3252.4702553236893,2032.0,2971.628594134174,5717.0,4722.229856029833,0.0,-48.77864667038739,2332.0,2305.0053157667608,4989.0,5010.494730321647,2023.0,2001.3101516060342,0.0,263.828370587089,4554.0,4544.19493922899,2395.0,2152.5827957858564,0.0,683.6363426005919,3202.0,2188.4866203290294,2359.0,2571.3853875258865,2087.0,1164.4665305737508,4046.0,5008.751013323374,1130.0,1211.604298797607
3803-24755,0.0,321.2527012248456,6310.0,6239.618141415403,422.0,136.37058332311608,2464.0,1200.152703231457,500.0,1324.3307968093777,1316.0,1515.6067385729948,1811.0,2943.6735458620824,3515.0,2678.9973345888047,734.0,726.0740992527499,4746.0,4759.577335322065,706.0,687.1388994440713,2937.0,2959.0274740059685,4921.0,4577.184435277879,156.0,248.77254936039753,2572.0,2823.6758190963847,475.0,1770.1626379275476,1363.0,522.0439512079683,3689.0,3511.157964697235,6272.0,5117.338882702454,284.0,1125.7731511292368,5673.0,5674.272512123149
3803-24788,7468.0,7297.467962715375,3533.0,3592.502955593489,3660.0,3830.3708313751267,4756.0,6601.818692643545,5323.0,4951.547072218178,6433.0,5352.292505447462,16763.0,15072.234957011067,7506.0,7729.09973388385,7038.0,8021.992231978889,4888.0,4890.885711565963,4461.0,4456.902812473127,10082.0,10086.224968276132,5256.0,5423.335772441205,6314.0,6258.011892561597,2398.0,2234.9395883691323,10120.0,8279.72055352549,9616.0,9962.409013749886,8839.0,9924.665536438726,6988.0,8673.563294704043,4574.0,4377.988989730977,9352.0,8354.52674399232
3803-24880,15355.0,15351.390066242428,19122.0,19124.502092850875,25878.0,25877.5456646378,21261.0,21257.090337480084,28917.0,28920.65429165197,21984.0,21983.85857528876,39764.0,39759.98793495097,40830.0,40833.184218749724,33907.0,33907.05986003901,29746.0,29741.84858539034,13272.0,13274.674576146761,54182.0,54181.707763354585,11897.0,11892.752269346442,19519.0,19521.074069928785,29969.0,29967.820081713202,36510.0,36505.4692478333,29625.0,29628.12802749133,39562.0,39561.095196414855,29558.0,29553.42129871057,26536.0,26538.720911081706,30515.0,30514.344869448978
