,0
3841-2554,0.496_0.942
3841-15824,1.589_0.984
3809-26907,0.73_1.0
3811-4629,1.581_0.987
3809-26882,0.982_0.977
3809-25878,1.361_0.998
3833-25137,1.624_0.964
3841-2296,1.635_0.988
3841-10577,0.858_0.916
3809-2789,1.198_0.915
3803-11326,2.0_0.931
3811-19126,0.554_0.97
3811-10974,2.0_0.98
3841-19545,2.0_0.999
3811-14106,1.009_1.0
3841-1258,0.762_0.964
3809-20108,1.104_0.958
3841-4996,2.0_0.928
3811-14276,1.743_0.904
3811-2563,0.537_1.0
3841-20524,1.212_0.942
3811-26647,1.034_0.992
3833-2678,0.99_0.959
3811-27173,0.73_1.0
3833-16896,0.552_1.0
3809-25045,1.577_0.983
3811-15824,2.0_0.996
3803-25834,2.0_0.802
3811-2340,1.714_0.977
3809-25069,2.0_0.975
3803-3002,1.421_0.906
3811-5675,0.647_0.999
3841-2397,1.568_0.884
3809-1958,2.0_0.936
3809-1438,2.0_0.955
3841-31719,0.545_0.999
3809-19900,2.0_0.779
3841-18224,2.0_1.0
3841-10551,0.845_0.956
3811-24302,1.693_0.856
3833-2394,1.112_0.924
3811-19831,1.234_0.887
3809-25881,1.428_0.891
3809-13754,1.384_0.939
3811-2341,1.283_0.788
3811-9763,2.0_0.987
3811-19615,2.0_0.869
3833-4625,1.537_0.956
3833-20769,2.0_0.995
3841-14409,1.245_0.997
3833-2274,1.49_0.996
3809-8706,0.925_0.956
3811-1360,1.75_0.98
3811-24742,1.791_0.963
3833-16122,1.151_1.0
3811-23115,0.757_0.957
3811-10859,1.463_0.998
3811-2466,1.337_0.997
3833-8812,1.334_0.988
3809-2296,1.078_1.0
3811-30422,2.0_0.959
3833-26650,1.387_0.997
3841-19831,2.0_0.879
3811-25130,1.068_0.966
3833-18223,1.633_0.944
3841-26639,1.669_0.867
3841-10930,0.578_0.953
3811-9037,2.0_0.973
3811-23772,0.553_1.0
3811-15826,1.206_0.995
3811-2274,2.0_0.989
3811-26679,1.073_0.955
3809-26647,2.0_0.991
3811-6356,1.073_0.903
3809-7222,2.0_0.928
3811-22780,1.053_1.0
3809-18853,1.507_0.991
3811-27212,0.378_0.879
3841-22780,0.737_1.0
3809-6697,2.0_0.942
3809-10006,2.0_0.977
3811-19027,2.0_0.885
3809-24796,2.0_0.892
3833-10974,1.104_0.98
3841-27421,0.994_0.951
3811-18039,2.0_0.998
3803-2524,2.0_0.941
3809-1840,1.454_0.934
3809-2556,1.801_0.945
3841-20769,1.179_0.899
3841-6661,2.0_0.975
3833-26679,0.184_1.0
3809-1668,2.0_0.973
3809-1506,2.0_0.971
3809-4102,2.0_0.897
